1;Elezioni parlamentari norvegesi del 2001;"Le elezioni parlamentari norvegesi del 2005 si sono tenute il 12 settembre. Esse hanno visto la vittoria del Partito Laburista Norvegese di Thorbjørn Jagland; tuttavia, Primo Ministro è divenuto Kjell Magne Bondevik, leader del Partito Popolare Cristiano.";2000;2001
2;Elezioni europee del 1994 (Germania);Le elezioni europee del 1994 in Germania si sono tenute il 12 giugno.;1990;1994
3;Elezioni presidenziali ucraine del 1994;Le elezioni presidenziali ucraine del 1994 si sono svolte in Ucraina il 26 giugno 1994, mentre il secondo turno si è tenuto il 10 luglio 1994. In seguito alle elezioni, il Presidente uscente Leonid Krav?uk dovette cedere la carica presidenziale all'ex Pr;1990;1994
4;Elezioni europee del 1984 (Irlanda);Le elezioni europee del 1984 in Irlanda si sono tenute il 17 giugno.;1980;1984
5;Elezioni parlamentari maltesi del 2008;Le elezioni parlamentari maltesi del 2008 si sono tenute l'8 marzo. Esse hanno visto la vittoria del Partito Nazionalista.;2000;2008
6;Elezioni presidenziali romene del 2009;Le elezioni presidenziali romene del 2009 si sono tenute il 22 novembre (primo turno) e il 6 dicembre (secondo turno). Esse hanno visto la vittoria di Traian B?sescu, sostenuto dal Partito Democratico Liberale, che è stato confermato Presidente della Rep;2000;2009
7;Elezioni legislative francesi del 2007;Le elezioni legislative francesi del 2007 si sono svolte il 10 giugno (primo turno) e il 17 giugno (secondo turno). Esse hanno visto la vittoria dell'Unione per un Movimento Popolare, nell'ambito della coalizione di centro-destra. Primo ministro è divenu;2000;2007
8;Elezioni generali di Sark del 2008;Le elezioni generali di Sark del 2008 tenutesi il 10 dicembre, sono state le prime lezioni dell'isola sotto una nuova costituzione. Sark è l'ultimo territorio europeo che ha abolito il feudalesimo nel 2008. Ci sono stati 57 candidati alle elezioni (10% d;2000;2008
9;Elezioni parlamentari ungheresi del 1998;"Le elezioni parlamentari ungheresi del 1998 si sono tenute il 24 maggio. Esse hanno visto la vittoria del Partito Socialista Ungherese di Gyula Horn; a seguito dell'esito elettorale, tuttavia, Primo Ministro è divenuto Viktor Orbán, leader dell'Unione Ci";1990;1998
10;Elezioni politiche italiane del 2006;Le elezioni politiche del 2006 per il rinnovo dei due rami del Parlamento della Repubblica Italiana - Camera dei deputati e Senato della Repubblica - si sono tenute il 9 e il 10 aprile. La vittoria è andata alla coalizione di centro-sinistra, che aveva c;2000;2006
