1;Elezioni parlamentari norvegesi del 2001;"Le elezioni parlamentari norvegesi del 2005 si sono tenute il 12 settembre. Esse hanno visto la vittoria del Partito Laburista Norvegese di Thorbjrn Jagland; tuttavia, Primo Ministro  divenuto Kjell Magne Bondevik, leader del Partito Popolare Cristiano.";null;2000;2001
2;Elezioni europee del 1994 (Germania);Le elezioni europee del 1994 in Germania si sono tenute il 12 giugno.;null;1990;1994
3;Elezioni presidenziali ucraine del 1994;Le elezioni presidenziali ucraine del 1994 si sono svolte in Ucraina il 26 giugno 1994, mentre il secondo turno si  tenuto il 10 luglio 1994. In seguito alle elezioni, il Presidente uscente Leonid Krav?uk dovette cedere la carica presidenziale all ex Pr;null;1990;1994
4;Elezioni europee del 1984 (Irlanda);Le elezioni europee del 1984 in Irlanda si sono tenute il 17 giugno.;null;1980;1984
5;Elezioni parlamentari maltesi del 2008;Le elezioni parlamentari maltesi del 2008 si sono tenute l 8 marzo. Esse hanno visto la vittoria del Partito Nazionalista.;null;2000;2008
6;Elezioni presidenziali romene del 2009;Le elezioni presidenziali romene del 2009 si sono tenute il 22 novembre (primo turno) e il 6 dicembre (secondo turno). Esse hanno visto la vittoria di Traian B?sescu, sostenuto dal Partito Democratico Liberale, che  stato confermato Presidente della Rep;null;2000;2009
7;Elezioni legislative francesi del 2007;Le elezioni legislative francesi del 2007 si sono svolte il 10 giugno (primo turno) e il 17 giugno (secondo turno). Esse hanno visto la vittoria dell Unione per un Movimento Popolare, nell ambito della coalizione di centro-destra. Primo ministro  divenu;null;2000;2007
8;Elezioni generali di Sark del 2008;Le elezioni generali di Sark del 2008 tenutesi il 10 dicembre, sono state le prime lezioni dell isola sotto una nuova costituzione. Sark  l ultimo territorio europeo che ha abolito il feudalesimo nel 2008. Ci sono stati 57 candidati alle elezioni (10% d;null;2000;2008
9;Elezioni parlamentari ungheresi del 1998;"Le elezioni parlamentari ungheresi del 1998 si sono tenute il 24 maggio. Esse hanno visto la vittoria del Partito Socialista Ungherese di Gyula Horn; a seguito dell esito elettorale, tuttavia, Primo Ministro  divenuto Viktor Orbn, leader dell Unione Ci";null;1990;1998
10;Elezioni politiche italiane del 2006;Le elezioni politiche del 2006 per il rinnovo dei due rami del Parlamento della Repubblica Italiana - Camera dei deputati e Senato della Repubblica - si sono tenute il 9 e il 10 aprile. La vittoria  andata alla coalizione di centro-sinistra, che aveva c;null;2000;2006
11;Elezioni europee del 1999;"Le elezioni europee del 1999 si sono tenute per eleggere tutti e 626 i membri della V legislatura del Parlamento europeo, rappresentanti dei cittadini dei 15 stati dell Unione europea; si sono svolte tra il 10 e il 13 giugno 1999. L affluenza alle urne ";null;1990;1999
12;Electronic Entertainment Expo 2010;L Electronic Entertainment Expo 2010, meglio noto come E3 2010  stato il sedicesimo E3. L evento ha avuto luogo dal 14 al 17 giugno presso il Los Angeles Convention Center. L E3  una fiera annuale, specializzata in videogiochi, e presentata dall ESA.;null;2010;2010
13;Elezioni europee del 1984;Le elezioni europee del 1984 si svolsero tra il 14 e il 17 giugno per eleggere il  Parlamento europeo. Furono le seconde elezioni europee della storia. Rispetto alle precedenti consultazioni, in questa tornata erano chiamati alle urne anche i greci, do;null;1980;1984
15;Elezioni europee del 2009 (Belgio);Le elezioni europee del 2009 in Belgio si sono tenute il 4 giugno.;null;2000;2009
16;Elezioni parlamentari ungheresi del 2002;Le elezioni parlamentari ungheresi del 2002 si sono tenute il 7 e 21 aprile. Esse hanno visto la vittoria del Partito Socialista Ungherese di Pter Medgyessy, che  divenuto Primo Ministro. Nel 2004, questi  stato sostituito dal socialista Ferenc Gyurcs;null;2000;2002
17;Elezioni legislative portoghesi del 1999;Le elezioni legislative portoghesi del 1999 si sono tenute il 10 ottobre. Esse hanno visto la vittoria del Partito Socialista di Antnio Guterres, che  stato confermato Primo Ministro.;null;1990;1999
18;Elezioni europee del 1979 (Italia);Le prime elezioni dirette per il Parlamento europeo si svolsero in Italia il 10 giugno 1979, solo una settimana dopo le elezioni politiche.;null;1970;1979
19;Elezioni europee del 1979 (Francia);Le elezioni europee del 1979 in Francia si sono tenute il 10 giugno.;null;1980;1984
